Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
LCO1247,A.E Kalsekar Degree College_7UN,19.15822131,73.02901827,A.E Kalsekar Degree College_7UN,RFS,High-rise,40,31,9,23%,Rest
201406,A.K Hi-Tech Orchid_1X8,19.04724421,73.06726078,A.K Hi-Tech Orchid_1X8,RFS,High-rise,48,24,24,50%,Rest
195455,A.K Mansion 123_KLV,18.95158439,72.83381196,A.K Mansion 123_KLV,RFS,Flatbed,16,9,7,44%,Rest
44625,Neelkanth Greens_0WK,19.24209649,72.9704676,A-1 Dahlia-Neelkanth Greens_0WK,RFS,High-rise,32,30,2,6%,Rest
192734,Riddhi Garden_2RW,19.17722832,72.8724863,A1 Riddhi Gardens_2RW,RFS,High-rise,80,44,36,45%,Rest
38166,Saraf Chaudhary Nagar_KNS,19.20906928,72.86328978,A1 Wing Saraf Chaudhary Nagar_KNS,RFS,High-rise,32,29,3,9%,Rest
197393,Empress Park_UWT,19.26786613,72.97089666,"A1-Acacia,Empress Park_UWT",RFS,High-rise,48,36,12,25%,Rest
44696,Puranik Hometown_PTW,19.26933587,72.96185669,"A1-Radiance,Puranik Hometown_PTW",RFS,High-rise,40,28,12,30%,Rest
44625,Neelkanth Greens_0WK,19.24209649,72.9704676,A-2 Anthurium-Neelkanth Greens_0WK,RFS,High-rise,32,29,3,9%,Rest
46940,A2 Arjuna Godrej Garden Enclave_GCV,19.10445451,72.92703644,A2 Arjuna Godrej Garden Enclave_GCV,RFS,High-rise,80,70,10,13%,Rest
21092,A2 Avdhut CHSL_SEE,19.03779757,73.0097666,A2 Avdhut CHSL_SEE,RFS,GHS,64,64,0,0%,Zero utilised
200966,A2 Type_2AB,19.07831559,73.0144771,A2 Type Lane No-01_2AB,RFS,Flatbed,112,106,6,5%,P1
200966,A2 Type_2AB,19.07831559,73.0144771,A2 Type Lane No-02_2AB,RFS,Flatbed,96,91,5,5%,Rest
200966,A2 Type_2AB,19.07831559,73.0144771,A2 Type Lane No-03_2AB,RFS,Flatbed,128,123,5,4%,P1
200966,A2 Type_2AB,19.07831559,73.0144771,A2 Type Lane No-04_2AB,RFS,Flatbed,112,107,5,4%,P1
